"","","","","","","","2021","","","","","","","",""
"","","","","","","","","","","","","","","2022",""
"","Méd.","Méd.","","","","","","","","","","","","",""
"","","","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Jan","Fev","Mar"
"","2020","2021","","","","","","","","","","","","",""
"Índices de Remunerações","182.8","185.6","182.2","189.6","190.7","183.6","182.8","183.4","188.5","182.0","187.3","204.5","190.4","190.0","183.6"
"Indústria","288.8","306.0","301.0","337.1","327.1","298.0","289.4","306.5","309.4","282.0","296.2","317.2","279.9","273.4","286.7"
"","","","-","-","-","-","","-","-","-","-","-","-","-","-"
"Energia,Água e San","-","-","","","","","-","","","","","","","",""
"Comércio","143.5","154.6","147.5","149.1","153.0","152.0","151.2","150.9","157.4","160.7","160.8","169.3","158.6","163.7","160.3"
"Transportes","204.5","198.0","199.7","185.9","198.4","194.6","193.5","192.2","199.3","196.5","197.0","228.4","192.3","189.7","148.6"
"Aloj.Rest. similares","130.0","121.9","119.0","121.4","120.2","118.9","125.5","121.6","124.3","108.6","121.3","145.2","137.8","137.6","136.2"
"Outros Serviços","147.5","147.3","143.8","154.5","155.1","154.5","154.6","145.8","152.1","162.4","161.3","162.3","183.4","185.8","186.0"
"Variação dos Índices de","","","","","","","","","","","","","","",""
"Remunerações","-0.2","0.5","4.9","4.1","0.6","-3.7","-0.4","0.3","2.8","-3.4","2.9","9.2","-6.9","-0.5","-3.4"
"Indústria","2.0","-0.1","2.7","12.0","-3.0","-8.9","-2.9","5.9","0.9","-8.9","5.0","7.1","-11.8","-2.3","4.9"
"","","","-","-","-","-","","-","-","-","-","-","-","-","-"
"Energia,Água e San","-","","","","","","-","","","","","","","",""
"Comércio","-0.4","0.9","-2.1","1.1","2.6","-0.7","-0.5","-0.2","4.3","2.1","0.1","5.3","-6.3","3.2","-2.1"
"Transportes","0.4","0.1","1.7","-6.9","6.7","-1.9","-0.6","-0.6","3.7","-1.4","0.3","15.9","-15.8","-1.4","-21.7"
"Aloj.Rest. similares","-3.3","1.9","1.3","2.0","-1.0","-1.1","5.5","-3.1","2.2","-12.7","11.7","19.7","-5.1","-0.5","-1.0"
"Outros Serviços","-0.2","1.7","29.9","7.5","0.4","-0.4","0.1","-5.7","4.3","6.8","-0.7","0.6","13.0","-0.1","0.1"
"Variação Acumulada dos","","","","","","","","","","","","","","",""
"Índices de","","","","","","","","","","","","","","",""
"Remunerações","-10.0","0.2","2.4","9.0","4.7","-3.2","-4.2","-0.1","3.1","-0.6","-0.5","12.1","-6.9","-7.1","-3.9"
"Indústria","6.1","-0.8","-4.1","14.7","9.0","-11.9","-11.8","3.0","6.8","-7.9","-3.8","12.1","-11.8","-14.1","2.6"
"","","","-","-","-","-","","-","-","-","-","-","-","-","-"
"Energia,Água e San","-","-","","","","","-","","","","","","","",""
"Comércio","-11.2","1.3","-3.4","-2.3","0.3","-0.4","-0.9","-1.1","3.2","5.3","5.4","10.7","-6.3","-3.1","-5.2"
"Transportes","-13.3","-13.9","-13.4","-20.3","-13.6","-15.5","-16.1","-16.7","-13.0","-14.4","-14.1","1.8","-15.8","-17.2","-38.8"
"Aloj.Rest. similares","-35.2","2.5","-0.2","1.8","0.8","-0.3","5.2","2.1","4.3","-8.3","3.4","23.1","-5.1","-5.2","-6.3"
"Outros Serviços","0.1","8.8","7.4","14.9","15.2","14.9","14.9","9.2","13.6","20.3","19.6","20.3","13.0","14.5","14.6"
"Variação Média dos Índices","","","","","","","","","","","","","","",""
"de","","","","","","","","","","","","","","",""
"Remunerações","-2.5","-0.8","0.8","2.2","0.9","-0.5","-0.6","0.0","0.3","-0.1","0.0","1.0","-6.9","-3.5","-1.3"
"Indústria","-0.2","-0.7","-1.4","3.7","1.8","-2.0","-1.7","0.4","0.8","-0.9","-0.3","1.0","-11.8","-7.0","0.9"
"","","","-","-","-","-","","-","-","-","-","-","-","-","-"
"Energia,Água e San","-","-","","","","","-","","","","","","","",""
"Comércio","-2.9","0.0","-1.1","-0.6","0.1","-0.1","-0.1","-0.1","0.4","0.6","0.5","0.9","-6.3","-1.6","-1.7"
"Transportes","-3.8","-3.9","-4.5","-5.1","-2.7","-2.6","-2.3","-2.1","-1.4","-1.6","-1.3","0.1","-15.8","-8.6","-12.9"
"Aloj.Rest. similares","-6.4","0.2","-0.1","0.4","0.2","-0.1","0.7","0.3","0.5","-0.9","0.3","1.9","-5.1","-2.6","-2.1"
"Outros Serviços","0.5","-1.0","2.5","3.7","3.0","2.5","2.1","1.2","1.5","2.3","1.8","1.7","13.0","7.2","4.9"
"* Ponderador: Percentagem relativamente ao PIB 2014. Aloj.Rest. similares- Alojamento, restauração e similares.  Transprt.&Armazen- Transportes e Armazenagem","","","","","","","","","","","","","","",""
